name,email,phone,phones,district,city,state,specialization,experience,education,barCouncilNumber,isVerified,smartScore,winRate,totalCases,casesWon,source,createdAt
Venkat Ramaiah Choudary,venkat.ramaiah@advocate.telangana.in,9848012345,,Hyderabad,,Telangana,Criminal Law,18,LLB - Osmania University | LLM - NALSAR University of Law,TS/0124/2006,true,,,,,,2026-06-09T04:02:28.693Z
Sunitha Reddy Mallela,sunitha.reddy@advocate.telangana.in,9848023456,,Hyderabad,,Telangana,Family Law,12,LLB - University College of Law Hyderabad | Diploma in Family Law,TS/0456/2012,true,,,,,,2026-06-09T04:02:28.896Z
Mohammed Aslam Khan,aslam.khan@advocate.telangana.in,9848034567,,Hyderabad,,Telangana,Property Law,22,LLB - Osmania University,TS/0789/2002,true,,,,,,2026-06-09T04:02:29.023Z
Padmavathi Srinivas,padmavathi.srinivas@advocate.telangana.in,9848045678,,Hyderabad,,Telangana,Labour Law,9,LLB - Kakatiya University | LLM - Osmania University,TS/1023/2015,true,,,,,,2026-06-09T04:02:29.145Z
Rajesh Kumar Gupta,rajesh.gupta@advocate.telangana.in,9848056789,,Hyderabad,,Telangana,Consumer Law,7,LLB - Symbiosis Law School,TS/1456/2017,true,,,,,,2026-06-09T04:02:29.280Z
Naresh Babu Kommula,naresh.kommula@advocate.telangana.in,9848067890,,Rangareddy,,Telangana,Criminal Law,14,LLB - Osmania University,TS/1789/2010,true,,,,,,2026-06-09T04:02:29.383Z
Kavitha Devi Namburi,kavitha.namburi@advocate.telangana.in,9848078901,,Rangareddy,,Telangana,Civil Law,11,LLB - University College of Law | LLM - Osmania University,TS/2012/2013,true,,,,,,2026-06-09T04:02:29.486Z
Suresh Chandra Yadav,suresh.yadav@advocate.telangana.in,9848089012,,Warangal Urban,,Telangana,Criminal Law,16,LLB - Kakatiya University,TS/2345/2008,true,,,,,,2026-06-09T04:02:29.599Z
Anitha Laxmi Potharaju,anitha.potharaju@advocate.telangana.in,9848090123,,Warangal Urban,,Telangana,Family Law,8,LLB - Kakatiya University | Diploma in Women's Rights Law,TS/2678/2016,true,,,,,,2026-06-09T04:02:29.713Z
Ravi Shankar Teja,ravi.teja@advocate.telangana.in,9848001234,,Warangal Urban,,Telangana,Property Law,13,LLB - Kakatiya University,TS/2901/2011,true,,,,,,2026-06-09T04:02:29.821Z
Srinivas Rao Gundepally,srinivas.gundepally@advocate.telangana.in,9848112345,,Karimnagar,,Telangana,Civil Law,20,LLB - Osmania University,TS/3234/2004,true,,,,,,2026-06-09T04:02:29.921Z
Madhavi Latha Errabelly,madhavi.errabelly@advocate.telangana.in,9848123456,,Karimnagar,,Telangana,Constitutional Law,10,LLB - NALSAR University of Law | LLM - Constitutional Law,TS/3567/2014,true,,,,,,2026-06-09T04:02:30.020Z
Abdul Raheem Syed,abdul.raheem@advocate.telangana.in,9848134567,,Nizamabad,,Telangana,Criminal Law,15,LLB - Osmania University,TS/3890/2009,true,,,,,,2026-06-09T04:02:30.119Z
Rekha Venugopal,rekha.venugopal@advocate.telangana.in,9848145678,,Nizamabad,,Telangana,Family Law,6,LLB - Kakatiya University,TS/4123/2018,true,,,,,,2026-06-09T04:02:30.247Z
Bhaskar Rao Vemuri,bhaskar.vemuri@advocate.telangana.in,9848156789,,Khammam,,Telangana,Labour Law,17,LLB - Andhra University | Diploma in Labour Laws,TS/4456/2007,true,,,,,,2026-06-09T04:02:30.389Z
Jyothi Prasad Nelluri,jyothi.nelluri@advocate.telangana.in,9848167890,,Khammam,,Telangana,Property Law,11,LLB - Kakatiya University,TS/4789/2013,true,,,,,,2026-06-09T04:02:30.506Z
Tirupathi Reddy Banda,tirupathi.banda@advocate.telangana.in,9848178901,,Nalgonda,,Telangana,Civil Law,14,LLB - Osmania University,TS/5012/2010,true,,,,,,2026-06-09T04:02:30.654Z
Saraswathi Devi Katta,saraswathi.katta@advocate.telangana.in,9848189012,,Nalgonda,,Telangana,Consumer Law,5,LLB - Osmania University,TS/5345/2019,true,,,,,,2026-06-09T04:02:30.769Z
Prakash Narayan Iyer,prakash.iyer@advocate.telangana.in,9848190123,,Medchal-Malkajgiri,,Telangana,Property Law,19,LLB - Madras University | LLM - Osmania University,TS/5678/2005,true,,,,,,2026-06-09T04:02:30.901Z
Vijaya Lakshmi Gorantla,vijaya.gorantla@advocate.telangana.in,9848201234,,Medchal-Malkajgiri,,Telangana,Family Law,9,LLB - NALSAR University of Law,TS/5901/2015,true,,,,,,2026-06-09T04:02:31.132Z
Ramesh Goud Patel,ramesh.patel@advocate.telangana.in,9848212345,,Sangareddy,,Telangana,Criminal Law,13,LLB - Osmania University,TS/6234/2011,true,,,,,,2026-06-09T04:02:31.260Z
Lakshmi Prasanna Vanga,lakshmi.vanga@advocate.telangana.in,9848223456,,Sangareddy,,Telangana,Labour Law,7,LLB - Kakatiya University,TS/6567/2017,true,,,,,,2026-06-09T04:02:31.369Z
Venkatesh Atram,venkatesh.atram@advocate.telangana.in,9848234567,,Adilabad,,Telangana,Constitutional Law,16,LLB - Nagpur University | LLM - Constitutional Law,TS/6890/2008,true,,,,,,2026-06-09T04:02:31.485Z
Shobha Rani Meshram,shobha.meshram@advocate.telangana.in,9848245678,,Adilabad,,Telangana,Family Law,8,LLB - Kakatiya University,TS/7123/2016,true,,,,,,2026-06-09T04:02:31.622Z
Narayana Reddy Polasa,narayana.polasa@advocate.telangana.in,9848256789,,Mahabubnagar,,Telangana,Civil Law,21,LLB - Bangalore University,TS/7456/2003,true,,,,,,2026-06-09T04:02:31.741Z
Padma Sudha Yerragunta,padma.yerragunta@advocate.telangana.in,9848267890,,Mahabubnagar,,Telangana,Criminal Law,10,LLB - Osmania University,TS/7789/2014,true,,,,,,2026-06-09T04:02:31.870Z
Krishna Murthy Tandur,krishna.tandur@advocate.telangana.in,9848278901,,Siddipet,,Telangana,Property Law,12,LLB - Kakatiya University,TS/8012/2012,true,,,,,,2026-06-09T04:02:31.984Z
Shankar Prasad Boini,shankar.boini@advocate.telangana.in,9848289012,,Yadadri Bhuvanagiri,,Telangana,Criminal Law,9,LLB - Osmania University,TS/8345/2015,true,,,,,,2026-06-09T04:02:32.093Z
Usha Rani Jonnalagadda,usha.jonnalagadda@advocate.telangana.in,9848290123,,Suryapet,,Telangana,Family Law,14,LLB - Andhra University | Diploma in Child Rights Law,TS/8678/2010,true,,,,,,2026-06-09T04:02:32.193Z
Mahender Singh Rathod,mahender.rathod@advocate.telangana.in,9848301234,,Jagtial,,Telangana,Labour Law,11,LLB - Kakatiya University,TS/9012/2013,true,,,,,,2026-06-09T04:02:32.280Z
Kishan Rao Deshpande,kishan.deshpande@advocate.telangana.in,9848312345,,Mancherial,,Telangana,Constitutional Law,18,LLB - Nagpur University | LLM - Environmental Law,TS/9345/2006,true,,,,,,2026-06-09T04:02:32.381Z
Geetha Devi Naik,geetha.naik@advocate.telangana.in,9848323456,,Kamareddy,,Telangana,Consumer Law,6,LLB - Osmania University,TS/9678/2018,true,,,,,,2026-06-09T04:02:32.500Z
Raju Goud Edula,raju.edula@advocate.telangana.in,9848334567,,Peddapalli,,Telangana,Criminal Law,13,LLB - Kakatiya University,TS/9901/2011,true,,,,,,2026-06-09T04:02:32.575Z
Srinivasulu Banoth,srinivasulu.banoth@advocate.telangana.in,9848345678,,Nagarkurnool,,Telangana,Constitutional Law,15,LLB - Osmania University | LLM - Constitutional Law,TS/0234/2009,true,,,,,,2026-06-09T04:02:32.660Z
